Tiempo (s),Datos
294.6122017952287,0.049999997
294.6122497959967,0.049999997
294.6122977967647,0.055
294.6123457975327,0.049999997
294.61239379830073,0.055
294.6124417990688,0.049999997
294.6124897998368,0.055
294.6125378006048,0.049999997
294.6125858013728,0.055
294.6126338021408,0.055
294.6126818029088,0.055
294.6127298036768,0.055
294.6127778044449,0.055
294.6128258052129,0.055
294.6128738059809,0.049999997
294.6129218067489,0.049999997
294.6129698075169,0.055
294.6130178082849,0.049999997
294.61306580905296,0.06
294.61311380982096,0.055
294.61316181058896,0.055
294.61320981135697,0.055
294.61325781212497,0.055
294.613305812893,0.049999997
294.613353813661,0.055
294.61340181442904,0.055
294.61344981519704,0.055
294.61349781596505,0.055
294.61354581673305,0.055
294.61359381750106,0.06
294.61364181826906,0.055
294.61368981903706,0.055
294.6137378198051,0.049999997
294.6137858205731,0.055
294.61383382134113,0.055
294.61388182210914,0.055
294.61392982287714,0.049999997
294.61397782364514,0.055
294.61402582441315,0.055
294.6140738251812,0.055
294.6141218259492,0.049999997
294.6141698267172,0.055
294.6142178274852,0.055
294.6142658282532,0.055
294.6143138290212,0.049999997
294.61436182978923,0.055
294.6144098305573,0.055
294.6144578313253,0.055
294.6145058320933,0.049999997
294.6145538328613,0.055
294.6146018336293,0.049999997
294.6146498343973,0.055
294.6146978351654,0.049999997
294.6147458359334,0.055
294.6147938367014,0.055
294.6148418374694,0.055
294.6148898382374,0.049999997
294.6149378390054,0.055
294.6149858397734,0.049999997
294.61503384054146,0.055
294.61508184130946,0.055
294.61512984207747,0.049999997
294.61517784284547,0.055
294.6152258436135,0.055
294.6152738443815,0.055
294.6153218451495,0.055
294.61536984591754,0.055
294.61541784668555,0.06
294.61546584745355,0.04
294.61551384822155,0.055
294.61556184898956,0.049999997
294.61560984975756,0.055
294.61565785052557,0.055
294.6157058512936,0.06
294.61575385206163,0.049999997
294.61580185282963,0.065
294.61584985359764,0.055
294.61589785436564,0.065
294.61594585513365,0.055
294.61599385590165,0.065
294.6160418566697,0.055
294.6160898574377,0.055
294.6161378582057,0.055
294.6161858589737,0.055
294.6162338597417,0.055
294.61628186050973,0.049999997
294.61632986127773,0.049999997
294.6163778620458,0.055
294.6164258628138,0.055
294.6164738635818,0.055
294.6165218643498,0.049999997
294.6165698651178,0.055
294.6166178658858,0.055
294.6166658666539,0.055
294.6167138674219,0.055
294.6167618681899,0.055
294.6168098689579,0.055
294.6168578697259,0.06
294.6169058704939,0.06
294.6169538712619,0.049999997
294.61700187202996,0.049999997
294.61704987279796,0.055
294.61709787356597,0.055
294.61714587433397,0.055
294.617193875102,0.049999997
294.61724187587,0.055
294.617289876638,0.055
294.61733787740604,0.055
294.61738587817405,0.055
294.61743387894205,0.049999997
294.61748187971006,0.055
294.61752988047806,0.055
294.61757788124606,0.065
294.61762588201407,0.06
294.6176738827821,0.055
294.61772188355013,0.055
294.61776988431814,0.06
294.61781788508614,0.049999997
294.61786588585414,0.055
294.61791388662215,0.055
294.61796188739015,0.055
294.6180098881582,0.049999997
294.6180578889262,0.055
294.6181058896942,0.049999997
294.6181538904622,0.06
294.6182018912302,0.049999997
294.61824989199823,0.049999997
294.6182978927663,0.055
294.6183458935343,0.055
294.6183938943023,0.055
294.6184418950703,0.06
294.6184898958383,0.055
294.6185378966063,0.055
294.6185858973743,0.055
294.6186338981424,0.06
294.6186818989104,0.055
294.6187298996784,0.055
294.6187779004464,0.055
294.6188259012144,0.055
294.6188739019824,0.055
294.6189219027504,0.055
294.61896990351846,0.06
294.61901790428647,0.055
294.61906590505447,0.055
294.6191139058225,0.049999997
294.6191619065905,0.06
294.6192099073585,0.055
294.6192579081265,0.055
294.61930590889455,0.055
294.61935390966255,0.055
294.61940191043055,0.055
294.61944991119856,0.055
294.61949791196656,0.055
294.61954591273457,0.055
294.61959391350257,0.055
294.61964191427063,0.055
294.61968991503863,0.055
294.61973791580664,0.055
294.61978591657464,0.055
294.61983391734265,0.055
294.61988191811065,0.055
294.6199299188787,0.055
294.6199779196467,0.049999997
294.6200259204147,0.049999997
294.6200739211827,0.055
294.6201219219507,0.049999997
294.62016992271873,0.055
294.62021792348673,0.055
294.6202659242548,0.049999997
294.6203139250228,0.049999997
294.6203619257908,0.055
294.6204099265588,0.055
294.6204579273268,0.049999997
294.6205059280948,0.049999997
294.6205539288628,0.055
294.6206019296309,0.049999997
294.6206499303989,0.055
294.6206979311669,0.049999997
294.6207459319349,0.055
294.6207939327029,0.049999997
294.6208419334709,0.06
294.6208899342389,0.055
294.62093793500696,0.06
294.62098593577497,0.055
294.621033936543,0.06
294.621081937311,0.06
294.621129938079,0.049999997
294.621177938847,0.055
294.621225939615,0.055
294.62127394038305,0.055
294.62132194115105,0.06
294.62136994191906,0.055
294.62141794268706,0.055
294.62146594345506,0.055
294.62151394422307,0.055
294.62156194499113,0.055
294.62160994575913,0.049999997
294.62165794652714,0.055
294.62170594729514,0.055
294.62175394806314,0.055
294.62180194883115,0.049999997
294.62184994959915,0.06
294.6218979503672,0.049999997
294.6219459511352,0.055
294.6219939519032,0.049999997
294.6220419526712,0.055
294.62208995343923,0.055
294.62213795420723,0.055
294.62218595497524,0.055
294.6222339557433,0.055
294.6222819565113,0.049999997
294.6223299572793,0.055
294.6223779580473,0.049999997
294.6224259588153,0.049999997
294.6224739595833,0.049999997
294.6225219603513,0.055
294.6225699611194,0.055
294.6226179618874,0.055
294.6226659626554,0.055
294.6227139634234,0.049999997
294.6227619641914,0.049999997
294.6228099649594,0.06
294.6228579657274,0.055
294.62290596649547,0.06
294.62295396726347,0.055
294.6230019680315,0.049999997
294.6230499687995,0.055
294.6230979695675,0.06
294.6231459703355,0.055
294.62319397110355,0.055
294.62324197187155,0.055
294.62328997263955,0.055
294.62333797340756,0.055
294.62338597417556,0.049999997
294.62343397494357,0.055
294.62348197571157,0.049999997
294.62352997647963,0.055
294.62357797724763,0.049999997
294.62362597801564,0.049999997
294.62367397878364,0.049999997
294.62372197955165,0.049999997
294.62376998031965,0.055
294.62381798108765,0.055
294.6238659818557,0.055
294.6239139826237,0.055
294.6239619833917,0.055
294.6240099841597,0.055
294.62405798492773,0.055
294.62410598569573,0.055
294.62415398646374,0.06
294.6242019872318,0.049999997
294.6242499879998,0.055
294.6242979887678,0.055
294.6243459895358,0.055
294.6243939903038,0.055
294.6244419910718,0.055
294.6244899918398,0.055
294.6245379926079,0.055
294.6245859933759,0.055
294.6246339941439,0.049999997
294.6246819949119,0.055
294.6247299956799,0.06
294.6247779964479,0.055
294.62482599721596,0.055
294.62487399798397,0.055
294.624921998752,0.049999997
294.62496999952,0.055
294.625018000288,0.055
294.625066001056,0.055
294.625114001824,0.049999997
294.62516200259205,0.055
294.62521000336005,0.055
294.62525800412806,0.055
294.62530600489606,0.055
294.62535400566406,0.06
294.62540200643207,0.055
294.6254500072001,0.055
294.62549800796813,0.055
294.62554600873614,0.06
294.62559400950414,0.055
294.62564201027214,0.055
294.62569001104015,0.049999997
294.62573801180815,0.055
294.62578601257616,0.049999997
294.6258340133442,0.055
294.6258820141122,0.055
294.6259300148802,0.055
294.62597801564823,0.055
294.62602601641623,0.049999997
294.62607401718424,0.055
294.62612201795224,0.049999997
294.6261700187203,0.049999997
294.6262180194883,0.055
294.6262660202563,0.06
294.6263140210243,0.055
294.6263620217923,0.055
294.6264100225603,0.055
294.6264580233284,0.055
294.6265060240964,0.055
294.6265540248644,0.055
294.6266020256324,0.055
294.6266500264004,0.049999997
294.6266980271684,0.049999997
294.6267460279364,0.055
294.62679402870447,0.049999997
294.62684202947247,0.055
294.6268900302405,0.055
294.6269380310085,0.055
294.6269860317765,0.049999997
294.6270340325445,0.06
294.6270820333125,0.055
294.62713003408055,0.049999997
294.62717803484855,0.055
294.62722603561656,0.055
294.62727403638456,0.055
294.62732203715257,0.055
294.62737003792057,0.055
294.6274180386886,0.055
294.62746603945664,0.055
294.62751404022464,0.055
294.62756204099264,0.055
294.62761004176065,0.049999997
294.62765804252865,0.055
294.62770604329666,0.055
294.62775404406466,0.055
294.6278020448327,0.06
294.6278500456007,0.055
294.6278980463687,0.06
294.62794604713673,0.055
294.62799404790474,0.055
294.62804204867274,0.049999997
294.6280900494408,0.055
294.6281380502088,0.055
294.6281860509768,0.055
294.6282340517448,0.049999997
294.6282820525128,0.055
294.6283300532808,0.049999997
294.6283780540488,0.049999997
294.6284260548169,0.049999997
294.6284740555849,0.055
294.6285220563529,0.055
294.6285700571209,0.055
294.6286180578889,0.055
294.6286660586569,0.055
294.6287140594249,0.055
294.62876206019297,0.055
294.628810060961,0.049999997
294.628858061729,0.049999997
294.628906062497,0.055
294.628954063265,0.06
294.629002064033,0.055
294.629050064801,0.055
294.62909806556905,0.055
294.62914606633706,0.055
294.62919406710506,0.049999997
294.62924206787307,0.06
294.62929006864107,0.049999997
294.6293380694091,0.049999997
294.6293860701771,0.049999997
294.62943407094514,0.055
294.62948207171314,0.055
294.62953007248115,0.049999997
294.62957807324915,0.055
294.62962607401715,0.049999997
294.62967407478516,0.055
294.6297220755532,0.055
294.6297700763212,0.049999997
294.6298180770892,0.049999997
294.62986607785723,0.055
294.62991407862523,0.055
294.62996207939324,0.055
294.63001008016124,0.055
294.6300580809293,0.055
294.6301060816973,0.055
294.6301540824653,0.055
294.6302020832333,0.055
294.6302500840013,0.06
294.6302980847693,0.055
294.6303460855373,0.06
294.6303940863054,0.055
294.6304420870734,0.055
294.6304900878414,0.055
294.6305380886094,0.055
294.6305860893774,0.055
294.6306340901454,0.055
294.6306820909134,0.055
294.63073009168147,0.055
294.6307780924495,0.055
294.6308260932175,0.055
294.6308740939855,0.049999997
294.6309220947535,0.055
294.6309700955215,0.055
